Prompt_Version,Industry,JD_Region,JD_framing,Seniority_level,CV_framing,Model_Origin,Metric,Test_Used,F_Statistic,P_Value,Effect_Size,Decision,Pooling_Recommendation
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Agentic,USA,Fit_Score,Kruskal-Wallis,79.39579993446263,4.136472463187069e-17,0.6672,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Agentic,USA,Performance_Score,Kruskal-Wallis,84.25175742926571,3.756287394060844e-18,0.708,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Agentic,USA,Leadership_Avg,Kruskal-Wallis,89.60815086549293,2.659004358567673e-19,0.753,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Agentic,USA,Status_Score,Kruskal-Wallis,92.1807408899891,7.449095957772721e-20,0.7746,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Agentic,USA,Warmth_Score,Kruskal-Wallis,20.550053676865357,0.00013053581641413764,0.1727,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Communal,China,Hireability_Score,Kruskal-Wallis,43.01700848333303,2.440623272201543e-09,0.3615,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Communal,China,Competence_Score,Kruskal-Wallis,34.6241326432816,1.4626305237590885e-07,0.291,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Communal,China,Fit_Score,Kruskal-Wallis,30.798181143281386,9.374185054875133e-07,0.2588,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Communal,China,Performance_Score,Kruskal-Wallis,35.05585231087013,1.1855943584263955e-07,0.2946,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Communal,China,Leadership_Avg,Kruskal-Wallis,20.616698795180607,0.0001264447978570345,0.1732,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Communal,China,Status_Score,Kruskal-Wallis,5.645844805547948,0.13017109415806294,0.0474,Fail to Reject H0 (Models Equivalent),Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Communal,China,Warmth_Score,Kruskal-Wallis,41.69805068226125,4.649918329494222e-09,0.3504,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Communal,USA,Hireability_Score,Kruskal-Wallis,68.3827811657129,9.473235466263375e-15,0.5746,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Communal,USA,Competence_Score,Kruskal-Wallis,91.6969707287502,9.463121199868266e-20,0.7706,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Communal,USA,Fit_Score,Kruskal-Wallis,87.42165054803354,7.839071059917971e-19,0.7346,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Communal,USA,Performance_Score,Kruskal-Wallis,93.7291539298933,3.462675314833847e-20,0.7876,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Communal,USA,Leadership_Avg,Kruskal-Wallis,90.93454943959802,1.3798043513162615e-19,0.7642,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Communal,USA,Status_Score,Kruskal-Wallis,96.38457313245458,9.30545119540311e-21,0.81,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Communal,USA,Warmth_Score,Kruskal-Wallis,35.36554558404555,1.0197572003910286e-07,0.2972,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Agentic,China,Hireability_Score,Kruskal-Wallis,52.90868099130443,1.9174180979120853e-11,0.4446,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Agentic,China,Competence_Score,Kruskal-Wallis,49.21626348003498,1.1732439156053144e-10,0.4136,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Agentic,China,Fit_Score,Kruskal-Wallis,50.962431886982856,4.983078987875342e-11,0.4283,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Agentic,China,Performance_Score,Kruskal-Wallis,53.03441037632077,1.8026524345622043e-11,0.4457,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Agentic,China,Leadership_Avg,Kruskal-Wallis,39.755688442051394,1.2004402226088211e-08,0.3341,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Agentic,China,Status_Score,Kruskal-Wallis,48.60013745704466,1.5868955971437668e-10,0.4084,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Agentic,China,Warmth_Score,Kruskal-Wallis,14.958937198067183,0.0018520783135682574,0.1257,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Agentic,USA,Hireability_Score,Kruskal-Wallis,80.45130964083846,2.4559962772470667e-17,0.6761,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Agentic,USA,Competence_Score,Kruskal-Wallis,96.18309067688382,1.0281193953773254e-20,0.8083,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Agentic,USA,Fit_Score,Kruskal-Wallis,83.6476411102257,5.06307465855159e-18,0.7029,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Agentic,USA,Performance_Score,Kruskal-Wallis,76.18070302445307,2.023138860766627e-16,0.6402,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Agentic,USA,Leadership_Avg,Kruskal-Wallis,88.59258605472199,4.393643854072955e-19,0.7445,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Agentic,USA,Status_Score,Kruskal-Wallis,77.37094910977153,1.1242141844095955e-16,0.6502,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Agentic,USA,Warmth_Score,Kruskal-Wallis,14.651651651651562,0.002139883975297511,0.1231,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Communal,China,Hireability_Score,Kruskal-Wallis,21.516779333655172,8.221556208913037e-05,0.1808,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Communal,China,Competence_Score,Kruskal-Wallis,14.724920178799477,0.0020674715336987956,0.1237,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Communal,China,Fit_Score,Kruskal-Wallis,27.990818540433782,3.648189056549924e-06,0.2352,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Communal,China,Performance_Score,Kruskal-Wallis,31.596776181409123,6.364342176606229e-07,0.2655,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Communal,China,Leadership_Avg,Kruskal-Wallis,49.73677564960699,9.089873436202081e-11,0.418,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Communal,China,Status_Score,Kruskal-Wallis,41.35471487557175,5.499018506560287e-09,0.3475,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Communal,China,Warmth_Score,Kruskal-Wallis,23.7224081523198,2.8545203519992944e-05,0.1993,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Communal,USA,Hireability_Score,Kruskal-Wallis,81.73025356959344,1.3057256004292498e-17,0.6868,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Communal,USA,Competence_Score,Kruskal-Wallis,72.41017616825584,1.3003133369731774e-15,0.6085,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Communal,USA,Fit_Score,Kruskal-Wallis,92.4328208895185,6.575755385996195e-20,0.7767,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Communal,USA,Performance_Score,Kruskal-Wallis,78.89206850044408,5.304758356865117e-17,0.663,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Communal,USA,Leadership_Avg,Kruskal-Wallis,79.45670104973236,4.013914215647574e-17,0.6677,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Communal,USA,Status_Score,Kruskal-Wallis,86.72009170322929,1.1089077050317706e-18,0.7287,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Communal,USA,Warmth_Score,Kruskal-Wallis,6.274207571856699,0.09900541486077809,0.0527,Fail to Reject H0 (Models Equivalent),Pool
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Agentic,China,Hireability_Score,Kruskal-Wallis,46.508836239497924,4.4207519399159966e-10,0.3908,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Agentic,China,Competence_Score,Kruskal-Wallis,39.39332961724267,1.4326201589603672e-08,0.331,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Agentic,China,Fit_Score,Kruskal-Wallis,33.29519803700535,2.7904335737884606e-07,0.2798,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Agentic,China,Performance_Score,Kruskal-Wallis,26.427824753396624,7.759428369609454e-06,0.2221,Reject H0 (Models Differ),Do Not Pool
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Entry-Level,Agentic,China,Leadership_Avg,Kruskal-Wallis,22.90183651195352,4.233093945538789e-05,0.1925,Reject H0 (Models Differ),Do Not Pool
