Analysis_Step,Model_Provider,Model_Name,Outcome,Prompt_Version,N,R_Squared,Term,Coefficient,Std_Error,T_statistic,P_Value,CI_Lower,CI_Upper,Significant_Alpha_0.05,Interaction_Direction
Step_2a,qwen,qwen3.7-plus,Hireability_Score,pooled,5760,0.2251995825370334,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.0895833333333364,0.0300863374754559,-2.977541995811802,0.002917805673061,-0.1485638735240055,-0.0306027931426672,True,Negative
Step_2a,qwen,qwen3.7-plus,Leadership_Avg,pooled,5760,0.0760648936266457,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.0532291666666589,0.0266615042356204,1.996480250935857,0.0459286921061451,0.0009625880777714,0.1054957452555464,True,Positive
Step_2a,qwen,qwen3.7-plus,Performance_Score,pooled,5760,0.2183536765609303,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.0819444444444474,0.0306632571137688,-2.672398569415241,0.0075523385523616,-0.1420559641683369,-0.021832924720558,True,Negative
Step_2a,qwen,qwen3.7-plus,Status_Score,pooled,5760,0.0895632743421878,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.0590277777777818,0.0230522676162015,-2.560606130404984,0.0104742600573101,-0.1042188947667675,-0.0138366607887961,True,Negative
Step_2a,qwen,qwen3.7-plus,Warmth_Score,pooled,5760,0.1043485891396521,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.1229166666666698,0.0158290279764212,-7.76526940566188,9.579962368741395e-15,-0.1539475165168439,-0.0918858168164956,True,Negative
Step_2a,sealion,aisingapore/Gemma-SEA-LION-v4-27B-IT,Competence_Score,pooled,5760,0.1931940106081975,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.151388888888892,0.0223602211527698,6.770455795341677,1.4113025932443034e-11,0.1075544433220606,0.1952233344557233,True,Positive
Step_2a,sealion,aisingapore/Gemma-SEA-LION-v4-27B-IT,Fit_Score,pooled,5760,0.2259413804335989,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.0104166666666744,0.0383910275750893,0.2713307594150833,0.7861463808888192,-0.0648441904150775,0.0856775237484263,False,Positive
Step_2a,sealion,aisingapore/Gemma-SEA-LION-v4-27B-IT,Hireability_Score,pooled,5760,0.24561260090865,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.0625000000000051,0.0334132566759751,1.8705150655052425,0.0614630346906766,-0.0030025534392826,0.1280025534392929,False,Positive
Step_2a,sealion,aisingapore/Gemma-SEA-LION-v4-27B-IT,Leadership_Avg,pooled,5760,0.0719353589950356,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.0657152777777784,0.0271460348949551,2.42080576526449,0.0155168867136987,0.0124988368119959,0.1189317187435609,True,Positive
Step_2a,sealion,aisingapore/Gemma-SEA-LION-v4-27B-IT,Performance_Score,pooled,5760,0.1468760556243643,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.2347222222222247,0.0422795582688547,5.551671583927904,2.956039842686408e-08,0.1518383820820205,0.3176060623624289,True,Positive
Step_2a,sealion,aisingapore/Gemma-SEA-LION-v4-27B-IT,Status_Score,pooled,5760,0.0818438364455134,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.0388888888888898,0.0315187665467151,1.23383282880855,0.2173155800393651,-0.0228997511735769,0.1006775289513567,False,Positive
Step_2a,sealion,aisingapore/Gemma-SEA-LION-v4-27B-IT,Warmth_Score,pooled,5760,0.1070213157187505,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.0125000000000005,0.0205707104126219,-0.6076601026054363,0.5434369018289288,-0.0528263312868192,0.0278263312868181,False,Negative
Step_2a,tencent,hy3,Competence_Score,pooled,5760,0.1325940516846458,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.0104166666666689,0.0240988457917756,0.432247534038493,0.6655777069560669,-0.036826137278148,0.0576594706114859,False,Positive
Step_2a,tencent,hy3,Fit_Score,pooled,5760,0.2192186058048297,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.0979166666666615,0.0381135383892339,-2.5690783591565016,0.0102219067983101,-0.1726335405503199,-0.0231997927830031,True,Negative
Step_2a,tencent,hy3,Hireability_Score,pooled,5760,0.2444359284638234,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.0812499999999947,0.0378964905253247,-2.143998002815028,0.0320748122542782,-0.1555413784151189,-0.0069586215848706,True,Negative
Step_2a,tencent,hy3,Leadership_Avg,pooled,5760,0.0507679693589309,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.1596180555555544,0.0387880383739736,-4.115136063767962,3.923557435241744e-05,-0.2356572031619946,-0.0835789079491141,True,Negative
Step_2a,tencent,hy3,Performance_Score,pooled,5760,0.2351200954934171,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.0812499999999947,0.0377149889528221,-2.154315890205636,0.0312567791462695,-0.1551855670505621,-0.0073144329494273,True,Negative
Step_2a,tencent,hy3,Status_Score,pooled,5760,0.1004995334071485,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.0402777777777765,0.0277916004909853,-1.449278813245797,0.1473142126214416,-0.0947597701791046,0.0142042146235515,False,Negative
Step_2a,tencent,hy3,Warmth_Score,pooled,5760,0.16329084020531,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.0451388888888901,0.0184006219390418,-2.4531175651794586,0.014191855111725,-0.0812110303615544,-0.0090667474162258,True,Negative
