Analysis_Step,Model_Provider,Model_Name,Outcome,Prompt_Version,Formula,N,Df_Model,Df_Residual,R_Squared,Adjusted_R_Squared,F_Statistic,F_P_Value,AIC,BIC,Log_Likelihood,Term,Coefficient,Std_Error,T_statistic,P_Value,CI_Lower,CI_Upper
Step_2a,qwen,qwen3.7-plus,Leadership_Avg,pooled,Leadership_Avg ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.0760648936266457,0.07558334301526282,157.9582536676733,2.186304211921542e-98,8499.491800140539,8526.126571155299,-4245.745900070269,C(Seniority_level)[T.Senior-Level],-0.24822222222221896,0.018852530441640966,-13.166520165057118,4.990218526383674e-39,-0.2851802743718407,-0.2112641700725972
Step_2a,qwen,qwen3.7-plus,Leadership_Avg,pooled,Leadership_Avg ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.0760648936266457,0.07558334301526282,157.9582536676733,2.186304211921542e-98,8499.491800140539,8526.126571155299,-4245.745900070269,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],0.05322916666665896,0.026661504235620463,1.996480250935857,0.04592869210614514,0.0009625880777714285,0.10549574525554649
Step_2a,qwen,qwen3.7-plus,Status_Score,pooled,Status_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.0895632743421878,0.08908875902304725,188.7468554321749,9.543761445950481e-117,6823.831844710801,6850.4666157255615,-3407.9159223554007,Intercept,2.8770833333333163,0.011526133808100764,249.6139105474598,0.0,2.8544877748388235,2.899678891827809
Step_2a,qwen,qwen3.7-plus,Status_Score,pooled,Status_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.0895632743421878,0.08908875902304725,188.7468554321749,9.543761445950481e-117,6823.831844710801,6850.4666157255615,-3407.9159223554007,C(CV_framing)[T.Communal],-0.2243055555555265,0.016300414753143495,-13.760726886551751,2.0484871633645226e-42,-0.25626050082783364,-0.1923506102832194
Step_2a,qwen,qwen3.7-plus,Status_Score,pooled,Status_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.0895632743421878,0.08908875902304725,188.7468554321749,9.543761445950481e-117,6823.831844710801,6850.4666157255615,-3407.9159223554007,C(Seniority_level)[T.Senior-Level],-0.07013888888888697,0.016300414753143023,-4.302889831399099,1.7137786335156936e-05,-0.10209383416119316,-0.03818394361658079
Step_2a,qwen,qwen3.7-plus,Status_Score,pooled,Status_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.0895632743421878,0.08908875902304725,188.7468554321749,9.543761445950481e-117,6823.831844710801,6850.4666157255615,-3407.9159223554007,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.05902777777778185,0.0230522676162015,-2.560606130404984,0.01047426005731017,-0.10421889476676757,-0.013836660788796126
Step_2a,qwen,qwen3.7-plus,Warmth_Score,pooled,Warmth_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.10434858913965217,0.10388177985671598,223.53580563628816,3.5320722842380404e-137,2493.2487129794627,2519.8834839942224,-1242.6243564897313,Intercept,2.792361111111094,0.007914513988210626,352.81523480412886,0.0,2.776845686186007,2.8078765360361815
Step_2a,qwen,qwen3.7-plus,Warmth_Score,pooled,Warmth_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.10434858913965217,0.10388177985671598,223.53580563628816,3.5320722842380404e-137,2493.2487129794627,2519.8834839942224,-1242.6243564897313,C(CV_framing)[T.Communal],0.24513888888891774,0.011192813021719277,21.901454836530725,3.3976036622321734e-102,0.22319676453387757,0.2670810132439579
Step_2a,qwen,qwen3.7-plus,Warmth_Score,pooled,Warmth_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.10434858913965217,0.10388177985671598,223.53580563628816,3.5320722842380404e-137,2493.2487129794627,2519.8834839942224,-1242.6243564897313,C(Seniority_level)[T.Senior-Level],0.128472222222222,0.011192813021718954,11.478099560220445,3.61222525282609e-30,0.10653009786718245,0.15041434657726152
Step_2a,qwen,qwen3.7-plus,Warmth_Score,pooled,Warmth_Score ~ C(CV_framing) * C(Seniority_level),5760,3.0,5756.0,0.10434858913965217,0.10388177985671598,223.53580563628816,3.5320722842380404e-137,2493.2487129794627,2519.8834839942224,-1242.6243564897313,C(CV_framing)[T.Communal]:C(Seniority_level)[T.Senior-Level],-0.1229166666666698,0.015829027976421235,-7.76526940566188,9.579962368741395e-15,-0.1539475165168439,-0.09188581681649569
