Prompt_Version,Industry,JD_Region,JD_framing,Seniority_level,CV_framing,Model_Origin,Metric,Provider,Mean,Std_Dev,Sample_Size
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Hireability_Score,openai,3.9333,0.3651,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Hireability_Score,openrouter,4.4667,0.5713,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Competence_Score,anthropic,2.0667,0.2537,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Competence_Score,google,3.4667,0.5713,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Competence_Score,openai,3.0,0.2626,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Competence_Score,openrouter,3.5,0.5085,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Fit_Score,anthropic,2.9333,0.4498,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Fit_Score,google,4.3,1.0875,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Fit_Score,openai,3.9333,0.3651,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Fit_Score,openrouter,5.4333,0.5683,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Performance_Score,anthropic,3.0333,0.3198,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Performance_Score,google,4.3667,0.8899,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Performance_Score,openai,3.9333,0.3651,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Performance_Score,openrouter,5.4,0.5632,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Leadership_Avg,anthropic,1.91,0.2784,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Leadership_Avg,google,1.9,0.4026,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Leadership_Avg,openai,2.0667,0.2537,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Leadership_Avg,openrouter,2.989,0.6952,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Status_Score,anthropic,2.0333,0.3198,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Status_Score,google,3.0333,0.4901,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Status_Score,openai,2.9,0.3051,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Status_Score,openrouter,4.4,0.5632,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Warmth_Score,anthropic,3.0,0.3714,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Warmth_Score,google,3.3333,0.5467,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Warmth_Score,openai,3.5667,0.504,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Entry-Level,Communal,USA,Warmth_Score,openrouter,3.0667,0.5833,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Hireability_Score,deepseek,1.8333,0.4611,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Hireability_Score,minimax,2.0667,0.2537,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Hireability_Score,qwen,2.4333,0.504,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Hireability_Score,tencent,2.4333,0.504,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Competence_Score,deepseek,2.0333,0.4901,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Competence_Score,minimax,2.0333,0.1826,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Competence_Score,qwen,2.4333,0.504,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Competence_Score,tencent,2.4333,0.504,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Fit_Score,deepseek,1.8333,0.4611,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Fit_Score,minimax,1.9667,0.3198,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Fit_Score,qwen,2.4333,0.504,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Fit_Score,tencent,2.4333,0.504,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Performance_Score,deepseek,2.0,0.5252,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Performance_Score,minimax,2.0667,0.2537,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Performance_Score,qwen,2.4333,0.504,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Performance_Score,tencent,2.5333,0.5074,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Leadership_Avg,deepseek,1.4223,0.4947,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Leadership_Avg,minimax,1.9433,0.2313,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Leadership_Avg,qwen,2.0,0.0,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Leadership_Avg,tencent,1.5333,0.5074,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Status_Score,deepseek,1.5,0.5085,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Status_Score,minimax,2.0,0.0,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Status_Score,qwen,2.4333,0.504,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Status_Score,tencent,1.9667,0.1826,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Warmth_Score,deepseek,2.7667,0.4302,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Warmth_Score,minimax,2.9667,0.1826,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Warmth_Score,qwen,2.9667,0.1826,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,China,Warmth_Score,tencent,3.0,0.0,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,EU,Hireability_Score,mistral,3.4667,0.5713,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,EU,Competence_Score,mistral,3.0,0.2626,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,EU,Fit_Score,mistral,3.9667,0.9643,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,EU,Performance_Score,mistral,4.0667,0.7849,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,EU,Leadership_Avg,mistral,2.5333,0.5074,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,EU,Status_Score,mistral,3.1667,0.6477,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,EU,Warmth_Score,mistral,2.9333,0.4498,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,SEA,Hireability_Score,sealion,3.4,0.4983,30
region,Procurement / Sourcing / Supply Chain,China,Balanced,Senior-Level,Agentic,SEA,Competence_Score,sealion,3.0,0.0,30
