Prompt_Version,Industry,JD_Region,JD_framing,Seniority_level,CV_framing,Model_Origin,Metric,Normality_p_value,Levene_p_value,Assumptions_Passed
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Communal,China,Performance_Score,1.8231743635890713e-07,0.2646983491691663,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Communal,China,Leadership_Avg,0.0,0.04714029696030121,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Communal,China,Status_Score,3.9143941307130164e-08,0.7640706098860811,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Communal,China,Warmth_Score,4.4017198651534915e-11,0.0029608098937461552,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Communal,USA,Hireability_Score,4.8081231420595115e-09,0.0008356076230187889,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Communal,USA,Competence_Score,1.7832852553163528e-10,0.0035541192353896914,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Communal,USA,Fit_Score,4.8081231420595115e-09,0.0010617226108540604,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Communal,USA,Performance_Score,4.8081231420595115e-09,0.03782617503975656,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Communal,USA,Leadership_Avg,7.766376725845856e-12,0.0012012778810892837,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Communal,USA,Status_Score,1.7832852553163657e-10,0.45870903237765703,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Entry-Level,Communal,USA,Warmth_Score,7.563926247308895e-09,0.0011250471129900712,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Agentic,China,Hireability_Score,4.4017198651534915e-11,0.025676412688251576,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Agentic,China,Competence_Score,7.766376725845856e-12,0.00726008415365262,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Agentic,China,Fit_Score,0.0,0.0013597843220907644,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Agentic,China,Performance_Score,7.766376725845856e-12,0.026060039969828055,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Agentic,China,Leadership_Avg,0.0,0.00012200424435116177,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Agentic,China,Status_Score,0.0,9.739755597176354e-08,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Agentic,China,Warmth_Score,0.0,0.0067342066959720885,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Agentic,USA,Hireability_Score,2.359594199172003e-09,0.1420554410115794,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Agentic,USA,Competence_Score,7.766376725845942e-12,0.16823615635236583,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Agentic,USA,Fit_Score,7.766376725845942e-12,0.05401657357024868,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Agentic,USA,Performance_Score,7.766376725845942e-12,0.15814461951189313,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Agentic,USA,Leadership_Avg,1.0232811721895033e-07,0.11574905739498464,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Agentic,USA,Status_Score,7.766376725845856e-12,0.011054663131907125,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Agentic,USA,Warmth_Score,0.0,0.0015730994004516919,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Communal,China,Hireability_Score,4.4017198651534915e-11,0.30330822532297963,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Communal,China,Competence_Score,0.0,0.05708631422526442,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Communal,China,Fit_Score,5.981489887632073e-10,0.09092459688752119,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Communal,China,Performance_Score,4.4017198651534915e-11,0.02762988025613214,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Communal,China,Leadership_Avg,0.0,8.514649700289665e-06,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Communal,China,Status_Score,7.766376725845856e-12,4.917285141454062e-15,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Communal,China,Warmth_Score,7.766376725845856e-12,0.00718733546154316,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Communal,USA,Hireability_Score,1.7324497589408543e-09,0.019952989229551493,False
region,Procurement / Sourcing / Supply Chain,China,Neutral,Senior-Level,Communal,USA,Competence_Score,7.766376725845856e-12,0.0017139355265837488,False
